Evidence,Property,Source,Genome Name,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliP,Flagellar biosynthesis protein FliP,,"Adherence,Motility",,100,100,100,1.00E-136
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscO,Type III secretion spans bacterial envelope protein (YscO),,"Secretion system,Type III secretion system",,100,100,100,4.00E-85
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flhA,Flagellar biosynthesis protein FlhA,,"Adherence,Motility",,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,xcpY,General secretion pathway protein L,,"Secretion system,Type II secretion system",,100,100,100,1.00E-224
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,EF-G,Translation elongation factor G,Translation elongation factor G,antibiotic target in susceptible species,17980694,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Twitching motility protein PilT,the outer membrane protein secreting main terminal branch (mtb) family.,3.A.15.2.1,10984043;1676385;1898929;1971619;2997119;7565109;7854122;7854130;8057924;8330261;8340405;8682785;8845350;9224881;9668097,100,100,100,1.00E-194
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"Glutamate/aspartate ABC transporter, substrate-binding protein GltI (TC 3.A.1.3.4)",the atp-binding cassette (abc) superfamily.,3.A.1.3.22,,100,100,100,1.00E-171
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,gyrB,DNA gyrase subunit B (EC 5.99.1.3),DNA gyrase subunit B (EC 5.99.1.3),antibiotic target in susceptible species,21693461;22279180;9293187,,,,
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14 ,PA14_04850,hypothetical protein,,,18591226,98,50,98,7.00E-52
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexL,"Transcriptional regulator, AcrR family",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,100,100,100,1.00E-117
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algF,"Alginate O-acetyltransferase AlgF, periplasmic",,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-122
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH38,,"Dipeptide ABC transporter, ATP-binding protein DppF (TC 3.A.1.5.2)",the atp-binding cassette (abc) superfamily.,3.A.1.5.39,,100,100,100,1.00E-186
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"TonB-dependent receptor; Outer membrane receptor for ferric enterobactin and colicins B, D",the outer membrane receptor (omr) family.,1.B.14.1.5,10984043;8419284,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PA4491,Uncharacterized protein YfaA,,,14641575,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Choline binding ABC transport system permease protein ChoW,the atp-binding cassette (abc) superfamily.,3.A.1.12.12,10984043,100,100,100,1.00E-157
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,hypothetical protein,"N-[(1R,2R,3E)-2-hydroxy-1-(hydroxymethyl)heptadec-3-en-1-yl]acetamide",Drug target,,100,100,98,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algC,Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8),,,,100,53,100,1.00E-272
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Type IV fimbrial assembly protein PilC,the outer membrane protein secreting main terminal branch (mtb) family.,3.A.15.2.1,10984043;1676385;1898929;1971619;2997119;7565109;7854122;7854130;8057924;8330261;8340405;8682785;8845350;9224881;9668097,99,91,98,1.00E-204
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdA,"L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis @ Siderophore biosynthesis protein, monooxygenase",,"Iron uptake,Siderophore,Pigment",,100,100,87,1.00E-227
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,chpB,Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61),,"Adherence,Twitching motility",,100,100,99,1.00E-202
BLAT,Antibiotic Resistance,NDARO,Pseudomonas aeruginosa ,Pseudomonas,,Fosfomycin resistance protein FosA,MULTISPECIES: FosA family fosfomycin resistance glutathione transferase,,,100,100,100,9.00E-76
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Uncharacterized MFS-type transporter,the major facilitator superfamily (mfs).,2.A.1.3.66,,100,100,99,1.00E-230
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter,the solute:sodium symporter (sss) family.,2.A.21.2.3,,100,100,99,1.00E-290
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,tse3,"Bacterial lysozyme Tse3, effector of type VI secretion system",,,,100,100,100,1.00E-236
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),rph,Ribonuclease PH (EC 2.7.7.56),N-Cyclohexyltaurine,Drug target,,100,100,100,1.00E-131
BLAT,Drug Target,TTD,Pseudomonas aeruginosa ,,,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108),,,,100,100,100,1.00E-170
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,chpA,still frameshift probable component of chemotactic signal transduction system,,"Adherence,Twitching motility",,100,100,99,0
BLAT,Antibiotic Resistance,NDARO,Pseudomonas aeruginosa ,Pseudomonas,,Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatB family,MULTISPECIES: type B-4 chloramphenicol O-acetyltransferase CatB7,,,100,100,99,1.00E-126
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,General secretion pathway protein D,the outer bacterial membrane secretin (secretin) family.,1.B.22.1.2,10984043;7934833,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,PA2895,hypothetical protein,,,14641575,100,100,99,1.00E-139
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Methionine ABC transporter substrate-binding protein,the atp-binding cassette (abc) superfamily.,3.A.1.24.5,,100,100,99,1.00E-142
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,motD,Flagellar motor rotation protein MotB,,,,100,100,100,1.00E-168
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Outer membrane receptor for ferric-pyochelin FptA @ Outer membrane receptor for ferric siderophore,the outer membrane receptor (omr) family.,1.B.14.1.8,10984043;8288523,100,100,100,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH27,,"Outer membrane low permeability porin, OprD family => OccK6/OpdQ",the outer membrane porin (opr) family.,1.B.25.1.34,,100,100,100,1.00E-250
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fimT,Type IV fimbrial biogenesis protein FimT,,"Adherence,Twitching motility",,100,100,99,1.00E-93
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algQ,"Alginate regulatory protein AlgQ, positive transcriptional regulator of AlgD",,"Antiphagocytosis,Serum resistance",,100,100,100,6.00E-90
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algR,Alginate biosynthesis two-component system response regulator AlgR,,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-137
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Escherichia coli,,ATP synthase beta chain (EC 3.6.3.14),"the h(+)- or na(+)-translocating f-type, v-type and a-type atpase (f-atpase) superfamily.",3.A.2.1.1,10336456;10570135;10580496;11320246;1385726;15919996;16079137;16738553;1682301;1829729;1832155;2137094;2138624;2162353;2536742;2861200;2868922;2874136;2874137;2889623;2903146;6193778;6266400;6272190;6272217;6272228;6277310;6277311;6278247;6285901;6301339;6309138;6318052;6325392;6395859;6446460;6458296;7508444;7583669;7686882;7849023;8706824;9164460;9237612;9278503;9298646;9331422;9632683;9636021;9756905;9868784,91,91,88,1.00E-215
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexD,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexD of MexCD-OprJ system",,,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliF,Flagellar M-ring protein FliF,,"Adherence,Motility",,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14),,,14641575,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdO,"PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)",,,,100,100,97,1.00E-169
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),amiC,"Possible regulatory protein similar to urea ABC transporter, substrate binding protein",Butyramide;Acetamide,Drug target,,100,100,99,1.00E-227
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)",the atp-binding cassette (abc) superfamily.,3.A.1.3.23,,100,100,100,1.00E-128
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algA,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8),,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-284
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.193) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)",the pts glucose-glucoside (glc) family.,4.A.1.1.15,,100,100,99,0
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,oprM,"Multidrug efflux system, outer membrane factor lipoprotein => OprM of MexAB-OprM",,efflux pump conferring antibiotic resistance,,100,100,99,1.00E-274
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,PDC family,Class C beta-lactamase (EC 3.5.2.6) => PDC family,Class C beta-lactamase (EC 3.5.2.6) => PDC family,antibiotic inactivation enzyme,19258272,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgA,Flagellar basal-body P-ring formation protein FlgA,,,,100,100,100,1.00E-127
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexD of MexCD-OprJ system",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.15,10984043,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Carbohydrate-selective porin OprB,the glucose-selective oprb porin (oprb) family.,1.B.19.1.1,10984043;2450582;7768797;8125108;8132494,95,96,98,1.00E-264
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Inner-membrane permease FptX, ferripyochelin @ Inner-membrane permease for ferric siderophore",the major facilitator superfamily (mfs).,2.A.1.57.1,10984043,100,100,100,1.00E-238
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,mvfR,Multiple virulence factor regulator MvfR/PqsR,,,9371831,100,100,99,1.00E-188
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscF,Type III secretion cytoplasmic protein (YscF),,"Secretion system,Type III secretion system",,100,100,100,1.00E-41
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Azotobacter vinelandii,fpr,Ferredoxin--NADP(+) reductase (EC 1.18.1.2) @ Flavodoxin--NADP(+) reductase (EC 1.19.1.1),Flavin adenine dinucleotide,Drug target,,100,100,85,1.00E-128
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,Ddl,D-alanine--D-alanine ligase (EC 6.3.2.4),D-alanine--D-alanine ligase (EC 6.3.2.4),antibiotic target in susceptible species,24303782;24033232,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fimV,Probable type IV pilus assembly FimV-related transmembrane protein,,"Adherence,Twitching motility",,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,PA3173,Putative short-chain dehydrogenase,,,14641575,100,100,99,1.00E-137
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,tse2,hypothetical protein,,,,100,100,98,2.00E-88
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Nonspecific porin and structural outer membrane protein OprF,the ompa-ompf porin (oop) family.,1.B.6.1.2,10984043;2447060,100,100,100,1.00E-205
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),ccpA,Cytochrome c551 peroxidase (EC 1.11.1.5),Heme C,Drug target,,100,100,100,1.00E-203
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgF,Flagellar basal-body rod protein FlgF,,"Adherence,Motility",,100,100,100,1.00E-138
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Escherichia coli,,Acetate permease ActP (cation/acetate symporter),the solute:sodium symporter (sss) family.,2.A.21.7.2,14563880;15919996;16079137;16738553;8265357;9278503,95,95,82,1.00E-250
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pcr4,Chaperone protein YscY (Yop proteins translocation protein Y),,"Secretion system,Type III secretion system",,100,100,99,5.00E-55
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscN,"Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)",,"Secretion system,Type III secretion system",,97,100,99,1.00E-245
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK4/OpdL,"Outer membrane low permeability porin, OprD family => OccK4/OpdL","Outer membrane low permeability porin, OprD family => OccK4/OpdL",protein modulating permeability to antibiotic,22272184,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain UCBPP-PA14),,"Pellicle/biofilm biosynthesis inner membrane protein PelG, MATE family transporter",the multidrug/oligosaccharidyl-lipid/polysaccharide (mop) flippase superfamily.,2.A.66.6.1,17038190,100,100,99,1.00E-258
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas stutzeri (strain ATCC 17588 / DSM 5190 / CCUG 11256 / JCM 5965 / LMG 11199 / NCIMB 11358 / Stanier 221),,Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1),the proton-translocating cytochrome oxidase (cox) superfamily.,3.D.4.3.3,20576851;22328767,97,97,86,3.00E-100
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,mexP,"Multidrug efflux system, membrane fusion component => MexP of MexPQ-OpmE system",,efflux pump conferring antibiotic resistance,,100,100,100,1.00E-216
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PmrB,Sensory histidine kinase QseC,,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,100,100,100,1.00E-272
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilK,Chemotaxis protein methyltransferase CheR (EC 2.1.1.80),,"Adherence,Twitching motility",,100,100,100,1.00E-170
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain LESB58),,Nucleoside-binding outer membrane protein,the nucleoside-specific channel-forming outer membrane porin (tsx) family.,1.B.10.2.3,,100,100,99,1.00E-165
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,xcpT,General secretion pathway protein G,,"Secretion system,Type II secretion system",,95,99,100,1.00E-78
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscE,Type III secretion protein (YscE),,"Secretion system,Type III secretion system",,100,100,97,2.00E-28
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Azotobacter vinelandii,rhdA,"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)",Hypophosphite,Drug target,,97,97,81,1.00E-131
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"Glutamate/aspartate ABC transporter, permease protein GltK (TC 3.A.1.3.4)",the atp-binding cassette (abc) superfamily.,3.A.1.3.22,,99,100,100,1.00E-121
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,pvdS,"Sigma factor PvdS, controling pyoverdin biosynthesis",,,10720526,100,100,100,1.00E-102
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexZ,"Transcriptional repressor of mexXY operon, MexZ",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,100,100,99,1.00E-117
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,pilI,type IV pili signal transduction protein PilI,,,14641575,100,100,100,1.00E-101
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),pvdQ,"Acyl-homoserine lactone acylase PvdQ (EC 3.5.1.-), quorum-quenching",Lauric Acid,Drug target,,100,100,99,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,GdpD,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),protein altering cell wall charge conferring antibiotic resistance,21899450,,,,
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,PA3756,"L,D-transpeptidase",,,14641575,100,100,100,3.00E-95
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,hsiA1,T6SS component TssA (ImpA),,"Secretion system,Type VI secretion system",,100,100,99,1.00E-192
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,"folA, Dfr",Dihydrofolate reductase (EC 1.5.1.3),Dihydrofolate reductase (EC 1.5.1.3),antibiotic target in susceptible species,20169085;25288078,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdF,"Pyoverdine synthetase PvdF, N5-hydroxyornithine formyltransferase",,,,55,98,98,7.00E-84
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,algU,RNA polymerase sigma factor RpoE,,,14641575,100,100,100,1.00E-106
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pppA,T6SS protein serine/threonine phosphatase PppA,,"Secretion system,Type VI secretion system",,100,100,99,1.00E-133
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,type 4 fimbrial biogenesis protein FimU,the outer membrane protein secreting main terminal branch (mtb) family.,3.A.15.2.1,10984043;1676385;1898929;1971619;2997119;7565109;7854122;7854130;8057924;8330261;8340405;8682785;8845350;9224881;9668097,100,100,100,1.00E-88
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzS,FAD-dependent monooxygenase PhzS,,"Pigment,Antimicrobial activity",,100,100,99,1.00E-234
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgE,Flagellar hook protein FlgE,,"Adherence,Motility",,100,100,100,1.00E-270
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"Outer membrane low permeability porin, OprD family => OccK2/OpdF",the outer membrane porin (opr) family.,1.B.25.1.14,10984043,100,100,98,1.00E-246
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,xcpQ,General secretion pathway protein D,,"Secretion system,Type II secretion system",,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzE1,2-Amino-2-deoxy-isochorismate synthase (EC 2.6.1.86) PhzE,,,,100,100,100,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexVW-OprM,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexW of MexVW-OprM system","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexW of MexVW-OprM system",efflux pump conferring antibiotic resistance,12951344,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Uncharacterized inner membrane protein RarD,the drug/metabolite transporter (dmt) superfamily.,2.A.7.7.1,10984043,100,100,99,1.00E-170
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Escherichia coli (strain K12),acpP,Acyl carrier protein,"Heptyl 1-Thiohexopyranoside;S-(2-{[N-(2-HYDROXY-4-{[HYDROXY(OXIDO)PHOSPHINO]OXY}-3,3-DIMETHYLBUTANOYL)-BETA-ALANYL]AMINO}ETHYL) HEXANETHIOATE;S-(2-{[N-(2-HYDROXY-4-{[HYDROXY(OXIDO)PHOSPHINO]OXY}-3,3-DIMETHYLBUTANOYL)-BETA-ALANYL]AMINO}ETHYL) HEPTANETHIOATE",Drug target,,98,98,88,1.00E-30
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),eta,hypothetical protein,"Nicotinamide;N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE",Drug target,,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PA5327,"Oxidoreductase, FAD-binding",,,14641575,100,95,99,1.00E-261
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,nalC,"Transcriptional regulator, AcrR family",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,100,100,99,1.00E-116
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Uncharacterized MFS-type transporter,the major facilitator superfamily (mfs).,2.A.1.11.2,10984043,100,100,99,1.00E-229
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Q8KZQ6,,Alkanesulfonate ABC transporter ATP-binding protein SsuB,,3.A.1.17.2,10361295;10781557;12835925,97,95,81,1.00E-120
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,EmrAB-TolC,"Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA",efflux pump conferring antibiotic resistance,1409590,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,UDP-N-acetylglucosaminuronic acid 4-epimerase (EC 5.1.3.7),Uridine diphosphate glucose;Uridine-Diphosphate-N-Acetylgalactosamine,Drug target,,99,100,99,1.00E-198
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),algD,GDP-mannose 6-dehydrogenase (EC 1.1.1.132),"Sucrose;Guanosine 5'-(Trihydrogen Diphosphate), P'-D-Mannopyranosyl Ester",Drug target,,100,100,100,1.00E-254
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilM,Type IV pilus biogenesis protein PilM,,"Adherence,Twitching motility",,100,100,100,1.00E-194
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain LESB58),,Nucleoside-binding outer membrane protein,the nucleoside-specific channel-forming outer membrane porin (tsx) family.,1.B.10.2.2,,100,100,99,1.00E-168
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliI,Flagellum-specific ATP synthase FliI,,"Adherence,Motility",,100,100,100,1.00E-257
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzD1,2-amino-2-deoxy-isochorismate hydrolase PhzD (EC 3.-.-.-),,,,100,100,100,1.00E-118
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,tse1,hypothetical protein,,,,100,100,100,4.00E-87
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-),the outer membrane protein secreting main terminal branch (mtb) family.,3.A.15.2.1,10984043;1676385;1898929;1971619;2997119;7565109;7854122;7854130;8057924;8330261;8340405;8682785;8845350;9224881;9668097,100,100,99,1.00E-170
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexEF-OprN system,"Multidrug efflux system, outer membrane factor lipoprotein => OprN of MexEF-OprN system","Multidrug efflux system, outer membrane factor lipoprotein => OprN of MexEF-OprN system",efflux pump conferring antibiotic resistance,9044268,,,,
