Genome,Feature Type,Start,End,Length,Strand,AA Length,Gene Symbol,Product,GO
Pseudomonas aeruginosa ,CDS,481535,482083,549,+,182,,FIG028932: hypothetical protein,
Pseudomonas aeruginosa ,CDS,482139,483734,1596,+,531,,"FIG022869: Oxidoreductase, GMC family",
Pseudomonas aeruginosa ,CDS,483883,484362,480,+,159,,Phosphopantetheine adenylyltransferase (EC 2.7.7.3),GO:0004595|pantetheine-phosphate adenylyltransferase activity
Pseudomonas aeruginosa ,CDS,484483,484734,252,+,83,,Uncharacterized ferredoxin-like protein YfhL,
Pseudomonas aeruginosa ,CDS,484862,486595,1734,+,577,,Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13),GO:0003840|gamma-glutamyltransferase activity;GO:0036374|glutathione hydrolase activity
Pseudomonas aeruginosa ,CDS,486700,487686,987,-,328,,"FOG: TPR repeat, SEL1 subfamily",
Pseudomonas aeruginosa ,CDS,487956,488300,345,-,114,,Cation/multidrug efflux pump,
Pseudomonas aeruginosa ,CDS,488383,488961,579,-,192,,1-acyl-sn-glycerol-3-phosphate acyltransferase,
Pseudomonas aeruginosa ,CDS,489038,489850,813,-,270,,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),GO:0008534|oxidized purine nucleobase lesion DNA N-glycosylase activity
Pseudomonas aeruginosa ,CDS,489909,490787,879,-,292,,Predicted signal transduction protein,
Pseudomonas aeruginosa ,CDS,49059,49949,891,+,296,,"Transcriptional regulator, LysR family",
Pseudomonas aeruginosa ,CDS,490949,491488,540,+,179,,Intracellular protease,
Pseudomonas aeruginosa ,CDS,491561,492757,1197,+,398,,23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191),
Pseudomonas aeruginosa ,CDS,493085,494923,1839,+,612,,Dihydroxy-acid dehydratase (EC 4.2.1.9),GO:0004160|dihydroxy-acid dehydratase activity
Pseudomonas aeruginosa ,CDS,495153,496538,1386,+,461,,Uracil-xanthine permease,
Pseudomonas aeruginosa ,CDS,496677,497150,474,+,157,,Putative phosphoesterase,
Pseudomonas aeruginosa ,CDS,497166,497672,507,-,168,,Dihydrofolate reductase (EC 1.5.1.3),GO:0004146|dihydrofolate reductase activity
Pseudomonas aeruginosa ,CDS,497755,498795,1041,-,346,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,498792,499886,1095,-,364,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,49936,50547,612,-,203,,"Transporter, LysE family",
Pseudomonas aeruginosa ,CDS,500096,501247,1152,+,383,,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46) periplasmic (secreted in GramPositives),GO:0008889|glycerophosphodiester phosphodiesterase activity
Pseudomonas aeruginosa ,CDS,501284,501646,363,-,120,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,501838,503223,1386,+,461,,probable integral membrane protein NMA1899,
Pseudomonas aeruginosa ,CDS,503216,504595,1380,+,459,,probable integral membrane protein NMA1898,
Pseudomonas aeruginosa ,CDS,504630,505427,798,+,265,,SAM-dependent methyltransferase,
Pseudomonas aeruginosa ,CDS,505454,506248,795,-,264,,Thymidylate synthase (EC 2.1.1.45),GO:0004799|thymidylate synthase activity
Pseudomonas aeruginosa ,CDS,506454,507254,801,-,266,,Prolipoprotein diacylglyceryl transferase,
Pseudomonas aeruginosa ,CDS,507264,508067,804,-,267,,Uncharacterized UPF0721 integral membrane protein,
Pseudomonas aeruginosa ,CDS,50752,52629,1878,-,625,,Transcriptional activator of acetoin dehydrogenase operon AcoR,
Pseudomonas aeruginosa ,CDS,508189,508944,756,+,251,,Uncharacterized NRDE family protein,
Pseudomonas aeruginosa ,CDS,508948,509985,1038,-,345,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,510104,512383,2280,-,759,,"FIG001592: Phosphocarrier protein kinase/phosphorylase, nitrogen regulation associated",
Pseudomonas aeruginosa ,CDS,512406,512885,480,-,159,,Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase,
Pseudomonas aeruginosa ,CDS,513089,513742,654,+,217,,Phosphoserine phosphatase (EC 3.1.3.3),GO:0004647|phosphoserine phosphatase activity
Pseudomonas aeruginosa ,CDS,513792,515033,1242,+,413,,Uncharacterized MFS-type transporter,
Pseudomonas aeruginosa ,CDS,515006,515473,468,-,155,,Predicted integral membrane protein,
Pseudomonas aeruginosa ,CDS,515470,516741,1272,-,423,,Predicted nucleoside-diphosphate-sugar epimerases,
Pseudomonas aeruginosa ,CDS,516792,517259,468,-,155,,Predicted integral membrane protein,
Pseudomonas aeruginosa ,CDS,517379,518893,1515,-,504,,Threonine dehydratase biosynthetic (EC 4.3.1.19),GO:0004794|L-threonine ammonia-lyase activity
Pseudomonas aeruginosa ,CDS,519152,519823,672,+,223,,Ribose-5-phosphate isomerase A (EC 5.3.1.6),GO:0004751|ribose-5-phosphate isomerase activity
Pseudomonas aeruginosa ,CDS,519946,520278,333,+,110,,UPF0339 protein YegP.N / UPF0339 protein YegP.C,
Pseudomonas aeruginosa ,CDS,520548,522524,1977,+,658,,Alkaline phosphatase isozyme conversion protein,
Pseudomonas aeruginosa ,CDS,522564,523493,930,-,309,,Outer membrane protein,
Pseudomonas aeruginosa ,CDS,523857,524906,1050,+,349,,Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1),
Pseudomonas aeruginosa ,CDS,524903,525832,930,+,309,,Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1),
Pseudomonas aeruginosa ,CDS,525829,526617,789,+,262,,Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1),
Pseudomonas aeruginosa ,CDS,526665,527708,1044,+,347,,Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1),
Pseudomonas aeruginosa ,CDS,5279,6472,1194,+,397,,Class C beta-lactamase (EC 3.5.2.6) => PDC family,GO:0008800|beta-lactamase activity
Pseudomonas aeruginosa ,CDS,528129,529523,1395,+,464,,"Uncharacterized amino acid permease, GabP family",
Pseudomonas aeruginosa ,CDS,529539,530573,1035,+,344,,Acetylpolyamine aminohydrolase,
Pseudomonas aeruginosa ,CDS,52961,53761,801,+,266,,Short-chain alcohol dehydrogenase associated with acetoin utilization,
Pseudomonas aeruginosa ,CDS,530654,531004,351,-,116,,Protein co-occuring with molybdenum cofactor biosynthesis protein B,
Pseudomonas aeruginosa ,CDS,531088,532020,933,-,310,,Outer membrane protein,
Pseudomonas aeruginosa ,CDS,532176,532841,666,-,221,,Uncharacterized fumarylacetoacetase-like protein YcgM,
Pseudomonas aeruginosa ,CDS,532933,534327,1395,-,464,,D-2-hydroxyglutarate dehydrogenase (EC 1.1.99.2),GO:0047545|2-hydroxyglutarate dehydrogenase activity
Pseudomonas aeruginosa ,CDS,534531,535760,1230,+,409,,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),GO:0004617|phosphoglycerate dehydrogenase activity
Pseudomonas aeruginosa ,CDS,535818,536255,438,-,145,,Uncharacterized DUF4399 domain-containing protein PA0315,
Pseudomonas aeruginosa ,CDS,536548,537318,771,+,256,,"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)",
Pseudomonas aeruginosa ,CDS,537390,538082,693,+,230,,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)",
Pseudomonas aeruginosa ,CDS,53758,54798,1041,+,346,,"Acetoin catabolism protein X, possible NAD kinase",
Pseudomonas aeruginosa ,CDS,538087,538581,495,-,164,,Uncharacterized protein YbbK,
Pseudomonas aeruginosa ,CDS,538695,538784,90,-,29,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,538847,539401,555,+,184,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,539423,540052,630,-,209,,"oxidoreductase, 2OG-Fe(II) oxygenase family",
Pseudomonas aeruginosa ,CDS,540170,540922,753,+,250,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,540942,541883,942,-,313,,Lysophospholipase (EC 3.1.1.5),GO:0004622|lysophospholipase activity
Pseudomonas aeruginosa ,CDS,541987,542571,585,+,194,,Thiol-disulfide isomerase and thioredoxins,
Pseudomonas aeruginosa ,CDS,542676,543179,504,+,167,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,543158,544210,1053,-,350,,Transcriptional regulator,
Pseudomonas aeruginosa ,CDS,544321,546708,2388,+,795,,N-acyl-homoserine lactone acylase,
Pseudomonas aeruginosa ,CDS,546886,547755,870,-,289,,Putrescine transport system permease protein PotI (TC 3.A.1.11.2),
Pseudomonas aeruginosa ,CDS,547752,548663,912,-,303,,Putrescine transport system permease protein PotH (TC 3.A.1.11.2),
Pseudomonas aeruginosa ,CDS,54821,55795,975,+,324,,Acetoin dehydrogenase E1 component alpha-subunit (EC 2.3.1.190),
Pseudomonas aeruginosa ,CDS,548660,549814,1155,-,384,,Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2),
Pseudomonas aeruginosa ,CDS,549869,550966,1098,-,365,,Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2),
Pseudomonas aeruginosa ,CDS,551385,552488,1104,-,367,,Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2),
Pseudomonas aeruginosa ,CDS,552604,553974,1371,-,456,,Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18),GO:0016223|beta-alanine-pyruvate transaminase activity
Pseudomonas aeruginosa ,CDS,554040,555398,1359,-,452,,glutamine synthetase family protein,
Pseudomonas aeruginosa ,CDS,555439,556191,753,-,250,,Gamma-glutamyl-GABA hydrolase (EC 3.5.1.94),GO:0033969|gamma-glutamyl-gamma-aminobutyrate hydrolase activity
Pseudomonas aeruginosa ,CDS,556470,557846,1377,+,458,,glutamine synthetase family protein,
Pseudomonas aeruginosa ,CDS,558102,559163,1062,+,353,,Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2),
Pseudomonas aeruginosa ,CDS,55828,56847,1020,+,339,,Acetoin dehydrogenase E1 component beta-subunit (EC 2.3.1.190),
Pseudomonas aeruginosa ,CDS,559226,559891,666,+,221,,"Transcriptional regulator, AcrR family",
Pseudomonas aeruginosa ,CDS,560054,560932,879,+,292,,N-carbamoylputrescine amidase (EC 3.5.1.53),GO:0050126|N-carbamoylputrescine amidase activity
Pseudomonas aeruginosa ,CDS,561018,562124,1107,+,368,,Agmatine deiminase (EC 3.5.3.12),GO:0047632|agmatine deiminase activity
Pseudomonas aeruginosa ,CDS,562222,563613,1392,-,463,,"Outer membrane low permeability porin, OprD family => OccK8/OprE anaerobically-induced",
Pseudomonas aeruginosa ,CDS,564228,565199,972,-,323,,Sensory box/GGDEF domain protein,
Pseudomonas aeruginosa ,CDS,565187,565315,129,-,42,,FIG00967789: hypothetical protein,
Pseudomonas aeruginosa ,CDS,565312,566274,963,-,320,,Transcriptional activator GpuR,
Pseudomonas aeruginosa ,CDS,566327,567283,957,-,318,,"Arginase/agmatinase/formimionoglutamate hydrolase, arginase family",
Pseudomonas aeruginosa ,CDS,567339,568724,1386,-,461,,"sodium-solute symporter, putative",
Pseudomonas aeruginosa ,CDS,56844,57956,1113,+,370,,Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.12),GO:0004742|dihydrolipoyllysine-residue acetyltransferase activity
Pseudomonas aeruginosa ,CDS,568953,570131,1179,-,392,,Fatty acid desaturase (EC 1.14.19.1); Delta-9 fatty acid desaturase (EC 1.14.19.1),GO:0004768|stearoyl-CoA 9-desaturase activity
Pseudomonas aeruginosa ,CDS,570303,572585,2283,+,760,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,572749,572931,183,+,60,,Uncharacterized protein PA0284,
Pseudomonas aeruginosa ,CDS,573108,574106,999,+,332,,Sulfate and thiosulfate binding protein CysP,
Pseudomonas aeruginosa ,CDS,574268,575086,819,+,272,,Sulfate transport system permease protein CysT,
Pseudomonas aeruginosa ,CDS,575097,575966,870,+,289,,Sulfate transport system permease protein CysW,
Pseudomonas aeruginosa ,CDS,575970,576959,990,+,329,,Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25),GO:0015419|sulfate transmembrane-transporting ATPase activity
Pseudomonas aeruginosa ,CDS,576973,577671,699,-,232,,Transcriptional regulator,
Pseudomonas aeruginosa ,CDS,577765,578517,753,+,250,,putative membrane protein,
Pseudomonas aeruginosa ,CDS,578689,579447,759,+,252,,Putative metalloprotease yggG (EC 3.4.24.-),
Pseudomonas aeruginosa ,CDS,579487,580002,516,-,171,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,57970,59061,1092,+,363,,"2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)","GO:0000721|(R,R)-butanediol dehydrogenase activity"
Pseudomonas aeruginosa ,CDS,580078,580764,687,+,228,,"Transcriptional regulator, Crp/Fnr family",
Pseudomonas aeruginosa ,CDS,580873,581643,771,+,256,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,581806,583020,1215,+,404,,Uncharacterized MFS-type transporter,
Pseudomonas aeruginosa ,CDS,583070,584002,933,+,310,,Transcriptional regulator,
Pseudomonas aeruginosa ,CDS,583999,584283,285,-,94,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,584317,584724,408,-,135,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,584736,585173,438,-,145,,4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein,
Pseudomonas aeruginosa ,CDS,585300,586721,1422,+,473,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",GO:0004069|L-aspartate:2-oxoglutarate aminotransferase activity;GO:0004069|L-phenylalanine:2-oxoglutarate aminotransferase activity
Pseudomonas aeruginosa ,CDS,586892,588091,1200,-,399,,Response regulator,
Pseudomonas aeruginosa ,CDS,588417,589697,1281,-,426,,5-aminovalerate aminotransferase (EC 2.6.1.48) / Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19),GO:0047589|5-aminovalerate transaminase activity;GO:0003867|4-aminobutyrate transaminase activity
Pseudomonas aeruginosa ,CDS,589942,591393,1452,-,483,,Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16),GO:0009013|succinate-semialdehyde dehydrogenase [NAD(P)+] activity
Pseudomonas aeruginosa ,CDS,591418,591834,417,+,138,,FIG00959267: hypothetical protein,
Pseudomonas aeruginosa ,CDS,59145,59813,669,-,222,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,592126,592527,402,+,133,,T6SS component Hcp,
Pseudomonas aeruginosa ,CDS,592603,592716,114,-,37,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,592708,595767,3060,+,1019,,VgrG protein,
Pseudomonas aeruginosa ,CDS,595771,596268,498,+,165,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,596265,598421,2157,+,718,,FIG027190: Putative transmembrane protein,
Pseudomonas aeruginosa ,CDS,598421,600007,1587,+,528,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,600187,600372,186,+,61,,Mobile element protein,
Pseudomonas aeruginosa ,CDS,600985,601188,204,+,67,,Transposase,
Pseudomonas aeruginosa ,CDS,601451,602383,933,+,310,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,60250,61557,1308,-,435,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",
Pseudomonas aeruginosa ,CDS,602532,603233,702,+,233,,Protein of unknown function DUF1275,
Pseudomonas aeruginosa ,CDS,603367,604857,1491,+,496,,"Virulence associated gene hudA (PA0254), similar to UbiD",
Pseudomonas aeruginosa ,CDS,604910,605374,465,+,154,,"Transcriptional regulator, MarR family",
Pseudomonas aeruginosa ,CDS,605499,605753,255,+,84,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,606018,606659,642,+,213,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,606814,607248,435,+,144,,CBS domain protein,
Pseudomonas aeruginosa ,CDS,607326,607772,447,+,148,,Acetyltransferase,
Pseudomonas aeruginosa ,CDS,607769,608635,867,-,288,,"Transcriptional regulator PobR, AraC family",
Pseudomonas aeruginosa ,CDS,608813,609997,1185,+,394,,P-hydroxybenzoate hydroxylase (EC 1.14.13.2),GO:0018659|4-hydroxybenzoate 3-monooxygenase activity
Pseudomonas aeruginosa ,CDS,610172,611677,1506,+,501,,Uncharacterized MFS-type transporter,
Pseudomonas aeruginosa ,CDS,611794,612240,447,+,148,,3-dehydroquinate dehydratase II (EC 4.2.1.10),GO:0003855|3-dehydroquinate dehydratase activity
Pseudomonas aeruginosa ,CDS,612237,613091,855,+,284,,Quinate/shikimate 5-dehydrogenase I delta (EC 1.1.1.25),GO:0004764|shikimate 3-dehydrogenase (NADP+) activity
Pseudomonas aeruginosa ,CDS,613131,613799,669,-,222,,"Transcriptional regulator, AcrR family",
Pseudomonas aeruginosa ,CDS,613892,615796,1905,-,634,,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27),GO:0003868|4-hydroxyphenylpyruvate dioxygenase activity
Pseudomonas aeruginosa ,CDS,61625,63709,2085,-,694,,Putative TonB-dependent receptor,
Pseudomonas aeruginosa ,CDS,616343,617668,1326,+,441,,Uncharacterized MFS-type transporter,
Pseudomonas aeruginosa ,CDS,617734,618984,1251,+,416,,"Outer membrane low permeability porin, OprD family => OccK2/OpdF",
Pseudomonas aeruginosa ,CDS,619010,619888,879,-,292,,Permease of the drug/metabolite transporter (DMT) superfamily,
Pseudomonas aeruginosa ,CDS,620038,620853,816,-,271,,Sugar phosphate isomerases/epimerases,
Pseudomonas aeruginosa ,CDS,620876,621919,1044,-,347,,Putative oxidoreductase,
Pseudomonas aeruginosa ,CDS,622161,622940,780,-,259,,Pca regulon regulatory protein PcaR,
Pseudomonas aeruginosa ,CDS,623246,624592,1347,+,448,,4-hydroxybenzoate transporter,
Pseudomonas aeruginosa ,CDS,624731,625564,834,-,277,,Nucleoside-binding outer membrane protein,
Pseudomonas aeruginosa ,CDS,625755,626696,942,-,313,,"Transcriptional regulator, LysR family",
Pseudomonas aeruginosa ,CDS,626871,627272,402,-,133,,4-carboxymuconolactone decarboxylase (EC 4.1.1.44),GO:0047575|4-carboxymuconolactone decarboxylase activity
Pseudomonas aeruginosa ,CDS,627283,628074,792,-,263,,Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24),GO:0047570|3-oxoadipate enol-lactonase activity
Pseudomonas aeruginosa ,CDS,628089,629468,1380,-,459,,"3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)","GO:0047472|3-carboxy-cis,cis-muconate cycloisomerase activity"
Pseudomonas aeruginosa ,CDS,629491,630789,1299,-,432,,dicarboxylic acid transporter PcaT,
Pseudomonas aeruginosa ,CDS,630939,632144,1206,-,401,,3-oxoadipyl-CoA thiolase (EC 2.3.1.174),GO:0033812|3-oxoadipyl-CoA thiolase activity
Pseudomonas aeruginosa ,CDS,632141,632923,783,-,260,,3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6),GO:0047569|3-oxoadipate CoA-transferase activity
Pseudomonas aeruginosa ,CDS,632920,633771,852,-,283,,3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6),GO:0047569|3-oxoadipate CoA-transferase activity
Pseudomonas aeruginosa ,CDS,633922,634461,540,-,179,,"Transcriptional regulator, Xre family",
Pseudomonas aeruginosa ,CDS,634616,635398,783,+,260,,Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,
Pseudomonas aeruginosa ,CDS,635458,636339,882,+,293,,Dihydrodipicolinate synthase family PA0223,
Pseudomonas aeruginosa ,CDS,636419,637477,1059,-,352,,"ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)",
Pseudomonas aeruginosa ,CDS,637641,639023,1383,-,460,,Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18),GO:0016223|beta-alanine-pyruvate transaminase activity
Pseudomonas aeruginosa ,CDS,639054,640487,1434,-,477,,D-serine/D-alanine/glycine transporter,
Pseudomonas aeruginosa ,CDS,63935,64753,819,+,272,,"Transcriptional regulator, IclR family",
Pseudomonas aeruginosa ,CDS,640545,642035,1491,-,496,,Aldehyde dehydrogenase (EC 1.2.1.3),GO:0004029|aldehyde dehydrogenase (NAD) activity
Pseudomonas aeruginosa ,CDS,642180,642365,186,+,61,,FIG00954099: hypothetical protein,
Pseudomonas aeruginosa ,CDS,642386,643306,921,+,306,,"Transcriptional regulator, LysR family",
Pseudomonas aeruginosa ,CDS,643644,644573,930,+,309,,Malonate utilization transcriptional regulator,
Pseudomonas aeruginosa ,CDS,644658,645422,765,-,254,,"Malonate transporter, MadM subunit",
Pseudomonas aeruginosa ,CDS,645428,645832,405,-,134,,"Malonate transporter, MadL subunit",
Pseudomonas aeruginosa ,CDS,645889,646821,933,-,310,,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),GO:0004314|[acyl-carrier-protein] S-malonyltransferase activity
Pseudomonas aeruginosa ,CDS,646818,647510,693,-,230,,Malonate decarboxylase holo-[acyl-carrier-protein] synthase (EC 2.7.7.66),
Pseudomonas aeruginosa ,CDS,647526,648332,807,-,268,,Malonate decarboxylase gamma subunit,
Pseudomonas aeruginosa ,CDS,64760,65557,798,-,265,,ABC-type cobalamin/Fe3+-siderophores transport systems ATPase components,
Pseudomonas aeruginosa ,CDS,648329,649192,864,-,287,,Malonate decarboxylase beta subunit,
Pseudomonas aeruginosa ,CDS,649185,649484,300,-,99,,Malonate decarboxylase delta subunit,
Pseudomonas aeruginosa ,CDS,649486,650367,882,-,293,,Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52),
Pseudomonas aeruginosa ,CDS,650367,652031,1665,-,554,,Malonate decarboxylase alpha subunit,
Pseudomonas aeruginosa ,CDS,652142,652723,582,-,193,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,652782,652940,159,-,52,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,652939,653151,213,+,70,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,653332,653733,402,-,133,,Biopolymer transport protein ExbD/TolR,
Pseudomonas aeruginosa ,CDS,6537,6935,399,+,132,,Ribosomal protein S3AE,
Pseudomonas aeruginosa ,CDS,653735,654454,720,-,239,,MotA/TolQ/ExbB proton channel family protein,
Pseudomonas aeruginosa ,CDS,654483,655304,822,-,273,,putative TonB-dependent receptor,
Pseudomonas aeruginosa ,CDS,655647,657083,1437,-,478,,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2),GO:0008750|NAD(P)+ transhydrogenase (AB-specific) activity
Pseudomonas aeruginosa ,CDS,65684,66589,906,+,301,,Ferrienterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2),
Pseudomonas aeruginosa ,CDS,657083,657391,309,-,102,,NAD(P) transhydrogenase C-domain of subunit alpha (EC 1.6.1.2),GO:0008750|NAD(P)+ transhydrogenase (AB-specific) activity
Pseudomonas aeruginosa ,CDS,657467,658585,1119,-,372,,NAD(P) transhydrogenase N-domain of subunit alpha (EC 1.6.1.2),GO:0008750|NAD(P)+ transhydrogenase (AB-specific) activity
Pseudomonas aeruginosa ,CDS,659232,660131,900,-,299,,"dioxygenase, TauD/TfdA family",
Pseudomonas aeruginosa ,CDS,660199,661101,903,-,300,,Aliphatic sulfate esters (C4-C12 chain lengths) dioxygenase (EC 1.14.11.-),GO:0000907|sulfonate dioxygenase activity
Pseudomonas aeruginosa ,CDS,661142,663514,2373,-,790,,Putative TonB-dependent receptor,
Pseudomonas aeruginosa ,CDS,663503,663748,246,+,81,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,663864,664781,918,+,305,,LysR family transcriptional regulator PA0191,
Pseudomonas aeruginosa ,CDS,664805,665530,726,-,241,,"putative membrane-associated phospholipid phosphatase, PAP2 superfamily",
Pseudomonas aeruginosa ,CDS,665778,667136,1359,+,452,,"Outer membrane low permeability porin, OprD family => OccD5/OpdI",
Pseudomonas aeruginosa ,CDS,66620,67642,1023,+,340,,"Iron compound ABC transporter, permease protein",
Pseudomonas aeruginosa ,CDS,667174,668235,1062,-,353,,Alkanesulfonates-binding protein,
Pseudomonas aeruginosa ,CDS,668502,670118,1617,+,538,,Alkanesulfonates transport system permease protein,
Pseudomonas aeruginosa ,CDS,670115,670954,840,+,279,,"ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron); ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)",
Pseudomonas aeruginosa ,CDS,671042,672652,1611,+,536,,Arylsulfatase (EC 3.1.6.1),GO:0004065|arylsulfatase activity
Pseudomonas aeruginosa ,CDS,672752,673504,753,-,250,,Cyclic-di-GMP-binding biofilm dispersal mediator protein,
Pseudomonas aeruginosa ,CDS,673621,674553,933,+,310,,"Transcriptional regulator PA0181, LysR family",
Pseudomonas aeruginosa ,CDS,674744,675916,1173,+,390,,Methyl-accepting chemotaxis transducer domain protein,
Pseudomonas aeruginosa ,CDS,676114,676479,366,+,121,,Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY,
Pseudomonas aeruginosa ,CDS,67639,68670,1032,+,343,,"ABC transporter, permease protein",
Pseudomonas aeruginosa ,CDS,676507,678426,1920,+,639,,Signal transduction histidine kinase CheA,
Pseudomonas aeruginosa ,CDS,678413,678898,486,+,161,,Positive regulator of CheA protein activity (CheW),
Pseudomonas aeruginosa ,CDS,678934,680973,2040,+,679,,Aerotaxis sensor receptor protein,
Pseudomonas aeruginosa ,CDS,681043,681885,843,+,280,,Chemotaxis protein methyltransferase CheR (EC 2.1.1.80),GO:0008983|protein-glutamate O-methyltransferase activity
Pseudomonas aeruginosa ,CDS,681891,682493,603,+,200,,Chemotaxis protein CheD,
Pseudomonas aeruginosa ,CDS,682513,683562,1050,+,349,,Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61),GO:0008984|protein-glutamate methylesterase activity
Pseudomonas aeruginosa ,CDS,683825,685816,1992,+,663,,FIG017431: Sigma factor-like phosphatase with CBS pair domains,
Pseudomonas aeruginosa ,CDS,685825,686367,543,+,180,,FIG062788: hypothetical protein,
Pseudomonas aeruginosa ,CDS,686394,686774,381,+,126,,FIG057251: Fe-S oxidoreductase,
Pseudomonas aeruginosa ,CDS,686781,687608,828,+,275,,FIG066100: Diguanylate cyclase (GGDEF domain) with PAS/PAC sensor,
Pseudomonas aeruginosa ,CDS,687615,688205,591,-,196,,FIG000605: protein co-occurring with transport systems (COG1739),
Pseudomonas aeruginosa ,CDS,688211,688876,666,-,221,,"Transcriptional regulator, AcrR family",
Pseudomonas aeruginosa ,CDS,68884,70593,1710,+,569,,Putative amidase PA4163,
Pseudomonas aeruginosa ,CDS,688969,690375,1407,-,468,,Xanthine permease,
Pseudomonas aeruginosa ,CDS,690617,691453,837,-,278,,Nucleoside-binding outer membrane protein,
Pseudomonas aeruginosa ,CDS,692125,693741,1617,-,538,,Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13),GO:0003840|gamma-glutamyltransferase activity;GO:0036374|glutathione hydrolase activity
Pseudomonas aeruginosa ,CDS,693819,694616,798,+,265,,"Transcriptional regulator, AraC family",
Pseudomonas aeruginosa ,CDS,694645,695979,1335,-,444,,"Outer membrane low permeability porin, OprD family => OccD2/OpdC",
Pseudomonas aeruginosa ,CDS,696566,696751,186,-,61,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,696867,697805,939,-,312,,"Transcriptional regulator, LysR family",
Pseudomonas aeruginosa ,CDS,698004,701051,3048,-,1015,,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => TriC of TriABC-OpmH system",
